"id" "owner" "datetaken" "tags" "latitude" "longitude" "page"
"31750581154" "140574134@N02" "2014-08-27 13:10:09" "wildinart fittie wilddolphin amolavida bottlenose archiefoundation trail scotland city 2014 footdee aberdeen urbanart publicart publicsculpture dano sculpture flipper dolphin bonnyscotland uk gb british britain granite schotland iskoçya skottland schottland albain шотландия škotija danophotography danoaberdeen candid amateur tarrysheds recent aberdeenscotland abdn" "57.142724" "-2.072188" 1
"32553755146" "140574134@N02" "2014-08-27 13:09:55" "wildinart fittie amolavida bottlenose flipper charity archiefoundation 2014 footdee dano aberdeen publicsculpture modernart publicart sculpture dolphin bonnyscotland uk gb british britain granite schotland iskoçya skottland schottland albain шотландия škotija danophotography danoaberdeen candid amateur tarrysheds recent aberdeenscotland abdn" "57.142724" "-2.072188" 1
"31750581154" "140574134@N02" "2014-08-27 13:10:09" "wildinart fittie wilddolphin amolavida bottlenose archiefoundation trail scotland city 2014 footdee aberdeen urbanart publicart publicsculpture dano sculpture flipper dolphin bonnyscotland uk gb british britain granite schotland iskoçya skottland schottland albain шотландия škotija danophotography danoaberdeen candid amateur tarrysheds recent aberdeenscotland abdn" "57.142724" "-2.072188" 1
"32553755146" "140574134@N02" "2014-08-27 13:09:55" "wildinart fittie amolavida bottlenose flipper charity archiefoundation 2014 footdee dano aberdeen publicsculpture modernart publicart sculpture dolphin bonnyscotland uk gb british britain granite schotland iskoçya skottland schottland albain шотландия škotija danophotography danoaberdeen candid amateur tarrysheds recent aberdeenscotland abdn" "57.142724" "-2.072188" 1
"31750581154" "140574134@N02" "2014-08-27 13:10:09" "wildinart fittie wilddolphin amolavida bottlenose archiefoundation trail scotland city 2014 footdee aberdeen urbanart publicart publicsculpture dano sculpture flipper dolphin bonnyscotland uk gb british britain granite schotland iskoçya skottland schottland albain шотландия škotija danophotography danoaberdeen candid amateur tarrysheds recent aberdeenscotland abdn" "57.142724" "-2.072188" 1
"32553755146" "140574134@N02" "2014-08-27 13:09:55" "wildinart fittie amolavida bottlenose flipper charity archiefoundation 2014 footdee dano aberdeen publicsculpture modernart publicart sculpture dolphin bonnyscotland uk gb british britain granite schotland iskoçya skottland schottland albain шотландия škotija danophotography danoaberdeen candid amateur tarrysheds recent aberdeenscotland abdn" "57.142724" "-2.072188" 1
"31750581154" "140574134@N02" "2014-08-27 13:10:09" "wildinart fittie wilddolphin amolavida bottlenose archiefoundation trail scotland city 2014 footdee aberdeen urbanart publicart publicsculpture dano sculpture flipper dolphin bonnyscotland uk gb british britain granite schotland iskoçya skottland schottland albain шотландия škotija danophotography danoaberdeen candid amateur tarrysheds recent aberdeenscotland abdn" "57.142724" "-2.072188" 1
"32553755146" "140574134@N02" "2014-08-27 13:09:55" "wildinart fittie amolavida bottlenose flipper charity archiefoundation 2014 footdee dano aberdeen publicsculpture modernart publicart sculpture dolphin bonnyscotland uk gb british britain granite schotland iskoçya skottland schottland albain шотландия škotija danophotography danoaberdeen candid amateur tarrysheds recent aberdeenscotland abdn" "57.142724" "-2.072188" 1
"31750581154" "140574134@N02" "2014-08-27 13:10:09" "wildinart fittie wilddolphin amolavida bottlenose archiefoundation trail scotland city 2014 footdee aberdeen urbanart publicart publicsculpture dano sculpture flipper dolphin bonnyscotland uk gb british britain granite schotland iskoçya skottland schottland albain шотландия škotija danophotography danoaberdeen candid amateur tarrysheds recent aberdeenscotland abdn" "57.142724" "-2.072188" 1
"32553755146" "140574134@N02" "2014-08-27 13:09:55" "wildinart fittie amolavida bottlenose flipper charity archiefoundation 2014 footdee dano aberdeen publicsculpture modernart publicart sculpture dolphin bonnyscotland uk gb british britain granite schotland iskoçya skottland schottland albain шотландия škotija danophotography danoaberdeen candid amateur tarrysheds recent aberdeenscotland abdn" "57.142724" "-2.072188" 1
"31750581154" "140574134@N02" "2014-08-27 13:10:09" "wildinart fittie wilddolphin amolavida bottlenose archiefoundation trail scotland city 2014 footdee aberdeen urbanart publicart publicsculpture dano sculpture flipper dolphin bonnyscotland uk gb british britain granite schotland iskoçya skottland schottland albain шотландия škotija danophotography danoaberdeen candid amateur tarrysheds recent aberdeenscotland abdn" "57.142724" "-2.072188" 1
"32553755146" "140574134@N02" "2014-08-27 13:09:55" "wildinart fittie amolavida bottlenose flipper charity archiefoundation 2014 footdee dano aberdeen publicsculpture modernart publicart sculpture dolphin bonnyscotland uk gb british britain granite schotland iskoçya skottland schottland albain шотландия škotija danophotography danoaberdeen candid amateur tarrysheds recent aberdeenscotland abdn" "57.142724" "-2.072188" 1
"31750581154" "140574134@N02" "2014-08-27 13:10:09" "wildinart fittie wilddolphin amolavida bottlenose archiefoundation trail scotland city 2014 footdee aberdeen urbanart publicart publicsculpture dano sculpture flipper dolphin bonnyscotland uk gb british britain granite schotland iskoçya skottland schottland albain шотландия škotija danophotography danoaberdeen candid amateur tarrysheds recent aberdeenscotland abdn" "57.142724" "-2.072188" 1
"32553755146" "140574134@N02" "2014-08-27 13:09:55" "wildinart fittie amolavida bottlenose flipper charity archiefoundation 2014 footdee dano aberdeen publicsculpture modernart publicart sculpture dolphin bonnyscotland uk gb british britain granite schotland iskoçya skottland schottland albain шотландия škotija danophotography danoaberdeen candid amateur tarrysheds recent aberdeenscotland abdn" "57.142724" "-2.072188" 1
"31750581154" "140574134@N02" "2014-08-27 13:10:09" "wildinart fittie wilddolphin amolavida bottlenose archiefoundation trail scotland city 2014 footdee aberdeen urbanart publicart publicsculpture dano sculpture flipper dolphin bonnyscotland uk gb british britain granite schotland iskoçya skottland schottland albain шотландия škotija danophotography danoaberdeen candid amateur tarrysheds recent aberdeenscotland abdn" "57.142724" "-2.072188" 1
"32553755146" "140574134@N02" "2014-08-27 13:09:55" "wildinart fittie amolavida bottlenose flipper charity archiefoundation 2014 footdee dano aberdeen publicsculpture modernart publicart sculpture dolphin bonnyscotland uk gb british britain granite schotland iskoçya skottland schottland albain шотландия škotija danophotography danoaberdeen candid amateur tarrysheds recent aberdeenscotland abdn" "57.142724" "-2.072188" 1
"31750581154" "140574134@N02" "2014-08-27 13:10:09" "wildinart fittie wilddolphin amolavida bottlenose archiefoundation trail scotland city 2014 footdee aberdeen urbanart publicart publicsculpture dano sculpture flipper dolphin bonnyscotland uk gb british britain granite schotland iskoçya skottland schottland albain шотландия škotija danophotography danoaberdeen candid amateur tarrysheds recent aberdeenscotland abdn" "57.142724" "-2.072188" 1
"32553755146" "140574134@N02" "2014-08-27 13:09:55" "wildinart fittie amolavida bottlenose flipper charity archiefoundation 2014 footdee dano aberdeen publicsculpture modernart publicart sculpture dolphin bonnyscotland uk gb british britain granite schotland iskoçya skottland schottland albain шотландия škotija danophotography danoaberdeen candid amateur tarrysheds recent aberdeenscotland abdn" "57.142724" "-2.072188" 1
"31750581154" "140574134@N02" "2014-08-27 13:10:09" "wildinart fittie wilddolphin amolavida bottlenose archiefoundation trail scotland city 2014 footdee aberdeen urbanart publicart publicsculpture dano sculpture flipper dolphin bonnyscotland uk gb british britain granite schotland iskoçya skottland schottland albain шотландия škotija danophotography danoaberdeen candid amateur tarrysheds recent aberdeenscotland abdn" "57.142724" "-2.072188" 1
"32553755146" "140574134@N02" "2014-08-27 13:09:55" "wildinart fittie amolavida bottlenose flipper charity archiefoundation 2014 footdee dano aberdeen publicsculpture modernart publicart sculpture dolphin bonnyscotland uk gb british britain granite schotland iskoçya skottland schottland albain шотландия škotija danophotography danoaberdeen candid amateur tarrysheds recent aberdeenscotland abdn" "57.142724" "-2.072188" 1
"31750581154" "140574134@N02" "2014-08-27 13:10:09" "wildinart fittie wilddolphin amolavida bottlenose archiefoundation trail scotland city 2014 footdee aberdeen urbanart publicart publicsculpture dano sculpture flipper dolphin bonnyscotland uk gb british britain granite schotland iskoçya skottland schottland albain шотландия škotija danophotography danoaberdeen candid amateur tarrysheds recent aberdeenscotland abdn" "57.142724" "-2.072188" 1
"32553755146" "140574134@N02" "2014-08-27 13:09:55" "wildinart fittie amolavida bottlenose flipper charity archiefoundation 2014 footdee dano aberdeen publicsculpture modernart publicart sculpture dolphin bonnyscotland uk gb british britain granite schotland iskoçya skottland schottland albain шотландия škotija danophotography danoaberdeen candid amateur tarrysheds recent aberdeenscotland abdn" "57.142724" "-2.072188" 1
"31750581154" "140574134@N02" "2014-08-27 13:10:09" "wildinart fittie wilddolphin amolavida bottlenose archiefoundation trail scotland city 2014 footdee aberdeen urbanart publicart publicsculpture dano sculpture flipper dolphin bonnyscotland uk gb british britain granite schotland iskoçya skottland schottland albain шотландия škotija danophotography danoaberdeen candid amateur tarrysheds recent aberdeenscotland abdn" "57.142724" "-2.072188" 1
"32553755146" "140574134@N02" "2014-08-27 13:09:55" "wildinart fittie amolavida bottlenose flipper charity archiefoundation 2014 footdee dano aberdeen publicsculpture modernart publicart sculpture dolphin bonnyscotland uk gb british britain granite schotland iskoçya skottland schottland albain шотландия škotija danophotography danoaberdeen candid amateur tarrysheds recent aberdeenscotland abdn" "57.142724" "-2.072188" 1
"31750581154" "140574134@N02" "2014-08-27 13:10:09" "wildinart fittie wilddolphin amolavida bottlenose archiefoundation trail scotland city 2014 footdee aberdeen urbanart publicart publicsculpture dano sculpture flipper dolphin bonnyscotland uk gb british britain granite schotland iskoçya skottland schottland albain шотландия škotija danophotography danoaberdeen candid amateur tarrysheds recent aberdeenscotland abdn" "57.142724" "-2.072188" 1
"32553755146" "140574134@N02" "2014-08-27 13:09:55" "wildinart fittie amolavida bottlenose flipper charity archiefoundation 2014 footdee dano aberdeen publicsculpture modernart publicart sculpture dolphin bonnyscotland uk gb british britain granite schotland iskoçya skottland schottland albain шотландия škotija danophotography danoaberdeen candid amateur tarrysheds recent aberdeenscotland abdn" "57.142724" "-2.072188" 1
"31750581154" "140574134@N02" "2014-08-27 13:10:09" "wildinart fittie wilddolphin amolavida bottlenose archiefoundation trail scotland city 2014 footdee aberdeen urbanart publicart publicsculpture dano sculpture flipper dolphin bonnyscotland uk gb british britain granite schotland iskoçya skottland schottland albain шотландия škotija danophotography danoaberdeen candid amateur tarrysheds recent aberdeenscotland abdn" "57.142724" "-2.072188" 1
"32553755146" "140574134@N02" "2014-08-27 13:09:55" "wildinart fittie amolavida bottlenose flipper charity archiefoundation 2014 footdee dano aberdeen publicsculpture modernart publicart sculpture dolphin bonnyscotland uk gb british britain granite schotland iskoçya skottland schottland albain шотландия škotija danophotography danoaberdeen candid amateur tarrysheds recent aberdeenscotland abdn" "57.142724" "-2.072188" 1
"31750581154" "140574134@N02" "2014-08-27 13:10:09" "wildinart fittie wilddolphin amolavida bottlenose archiefoundation trail scotland city 2014 footdee aberdeen urbanart publicart publicsculpture dano sculpture flipper dolphin bonnyscotland uk gb british britain granite schotland iskoçya skottland schottland albain шотландия škotija danophotography danoaberdeen candid amateur tarrysheds recent aberdeenscotland abdn" "57.142724" "-2.072188" 1
"32553755146" "140574134@N02" "2014-08-27 13:09:55" "wildinart fittie amolavida bottlenose flipper charity archiefoundation 2014 footdee dano aberdeen publicsculpture modernart publicart sculpture dolphin bonnyscotland uk gb british britain granite schotland iskoçya skottland schottland albain шотландия škotija danophotography danoaberdeen candid amateur tarrysheds recent aberdeenscotland abdn" "57.142724" "-2.072188" 1
"31750581154" "140574134@N02" "2014-08-27 13:10:09" "wildinart fittie wilddolphin amolavida bottlenose archiefoundation trail scotland city 2014 footdee aberdeen urbanart publicart publicsculpture dano sculpture flipper dolphin bonnyscotland uk gb british britain granite schotland iskoçya skottland schottland albain шотландия škotija danophotography danoaberdeen candid amateur tarrysheds recent aberdeenscotland abdn" "57.142724" "-2.072188" 1
"32553755146" "140574134@N02" "2014-08-27 13:09:55" "wildinart fittie amolavida bottlenose flipper charity archiefoundation 2014 footdee dano aberdeen publicsculpture modernart publicart sculpture dolphin bonnyscotland uk gb british britain granite schotland iskoçya skottland schottland albain шотландия škotija danophotography danoaberdeen candid amateur tarrysheds recent aberdeenscotland abdn" "57.142724" "-2.072188" 1
"31750581154" "140574134@N02" "2014-08-27 13:10:09" "wildinart fittie wilddolphin amolavida bottlenose archiefoundation trail scotland city 2014 footdee aberdeen urbanart publicart publicsculpture dano sculpture flipper dolphin bonnyscotland uk gb british britain granite schotland iskoçya skottland schottland albain шотландия škotija danophotography danoaberdeen candid amateur tarrysheds recent aberdeenscotland abdn" "57.142724" "-2.072188" 1
"32553755146" "140574134@N02" "2014-08-27 13:09:55" "wildinart fittie amolavida bottlenose flipper charity archiefoundation 2014 footdee dano aberdeen publicsculpture modernart publicart sculpture dolphin bonnyscotland uk gb british britain granite schotland iskoçya skottland schottland albain шотландия škotija danophotography danoaberdeen candid amateur tarrysheds recent aberdeenscotland abdn" "57.142724" "-2.072188" 1
"31750581154" "140574134@N02" "2014-08-27 13:10:09" "wildinart fittie wilddolphin amolavida bottlenose archiefoundation trail scotland city 2014 footdee aberdeen urbanart publicart publicsculpture dano sculpture flipper dolphin bonnyscotland uk gb british britain granite schotland iskoçya skottland schottland albain шотландия škotija danophotography danoaberdeen candid amateur tarrysheds recent aberdeenscotland abdn" "57.142724" "-2.072188" 1
"32553755146" "140574134@N02" "2014-08-27 13:09:55" "wildinart fittie amolavida bottlenose flipper charity archiefoundation 2014 footdee dano aberdeen publicsculpture modernart publicart sculpture dolphin bonnyscotland uk gb british britain granite schotland iskoçya skottland schottland albain шотландия škotija danophotography danoaberdeen candid amateur tarrysheds recent aberdeenscotland abdn" "57.142724" "-2.072188" 1
"31750581154" "140574134@N02" "2014-08-27 13:10:09" "wildinart fittie wilddolphin amolavida bottlenose archiefoundation trail scotland city 2014 footdee aberdeen urbanart publicart publicsculpture dano sculpture flipper dolphin bonnyscotland uk gb british britain granite schotland iskoçya skottland schottland albain шотландия škotija danophotography danoaberdeen candid amateur tarrysheds recent aberdeenscotland abdn" "57.142724" "-2.072188" 1
"32553755146" "140574134@N02" "2014-08-27 13:09:55" "wildinart fittie amolavida bottlenose flipper charity archiefoundation 2014 footdee dano aberdeen publicsculpture modernart publicart sculpture dolphin bonnyscotland uk gb british britain granite schotland iskoçya skottland schottland albain шотландия škotija danophotography danoaberdeen candid amateur tarrysheds recent aberdeenscotland abdn" "57.142724" "-2.072188" 1
"31750581154" "140574134@N02" "2014-08-27 13:10:09" "wildinart fittie wilddolphin amolavida bottlenose archiefoundation trail scotland city 2014 footdee aberdeen urbanart publicart publicsculpture dano sculpture flipper dolphin bonnyscotland uk gb british britain granite schotland iskoçya skottland schottland albain шотландия škotija danophotography danoaberdeen candid amateur tarrysheds recent aberdeenscotland abdn" "57.142724" "-2.072188" 1
"32553755146" "140574134@N02" "2014-08-27 13:09:55" "wildinart fittie amolavida bottlenose flipper charity archiefoundation 2014 footdee dano aberdeen publicsculpture modernart publicart sculpture dolphin bonnyscotland uk gb british britain granite schotland iskoçya skottland schottland albain шотландия škotija danophotography danoaberdeen candid amateur tarrysheds recent aberdeenscotland abdn" "57.142724" "-2.072188" 1
"31750581154" "140574134@N02" "2014-08-27 13:10:09" "wildinart fittie wilddolphin amolavida bottlenose archiefoundation trail scotland city 2014 footdee aberdeen urbanart publicart publicsculpture dano sculpture flipper dolphin bonnyscotland uk gb british britain granite schotland iskoçya skottland schottland albain шотландия škotija danophotography danoaberdeen candid amateur tarrysheds recent aberdeenscotland abdn" "57.142724" "-2.072188" 1
"32553755146" "140574134@N02" "2014-08-27 13:09:55" "wildinart fittie amolavida bottlenose flipper charity archiefoundation 2014 footdee dano aberdeen publicsculpture modernart publicart sculpture dolphin bonnyscotland uk gb british britain granite schotland iskoçya skottland schottland albain шотландия škotija danophotography danoaberdeen candid amateur tarrysheds recent aberdeenscotland abdn" "57.142724" "-2.072188" 1
"8286039479" "49158943@N04" "2012-12-01 13:59:44" "friends happy flickr peace seasons joy aberdeen delight greetings goodwill 2012 allanmaciver" "57.132419" "-2.104911" 1
"8286039479" "49158943@N04" "2012-12-01 13:59:44" "friends happy flickr peace seasons joy aberdeen delight greetings goodwill 2012 allanmaciver" "57.132419" "-2.104911" 1
"8286039479" "49158943@N04" "2012-12-01 13:59:44" "friends happy flickr peace seasons joy aberdeen delight greetings goodwill 2012 allanmaciver" "57.132419" "-2.104911" 1
"8286039479" "49158943@N04" "2012-12-01 13:59:44" "friends happy flickr peace seasons joy aberdeen delight greetings goodwill 2012 allanmaciver" "57.132419" "-2.104911" 1
"8286039479" "49158943@N04" "2012-12-01 13:59:44" "friends happy flickr peace seasons joy aberdeen delight greetings goodwill 2012 allanmaciver" "57.132419" "-2.104911" 1
"8286039479" "49158943@N04" "2012-12-01 13:59:44" "friends happy flickr peace seasons joy aberdeen delight greetings goodwill 2012 allanmaciver" "57.132419" "-2.104911" 1
"8286039479" "49158943@N04" "2012-12-01 13:59:44" "friends happy flickr peace seasons joy aberdeen delight greetings goodwill 2012 allanmaciver" "57.132419" "-2.104911" 1
"8286039479" "49158943@N04" "2012-12-01 13:59:44" "friends happy flickr peace seasons joy aberdeen delight greetings goodwill 2012 allanmaciver" "57.132419" "-2.104911" 1
"8286039479" "49158943@N04" "2012-12-01 13:59:44" "friends happy flickr peace seasons joy aberdeen delight greetings goodwill 2012 allanmaciver" "57.132419" "-2.104911" 1
"8286039479" "49158943@N04" "2012-12-01 13:59:44" "friends happy flickr peace seasons joy aberdeen delight greetings goodwill 2012 allanmaciver" "57.132419" "-2.104911" 1
"8286039479" "49158943@N04" "2012-12-01 13:59:44" "friends happy flickr peace seasons joy aberdeen delight greetings goodwill 2012 allanmaciver" "57.132419" "-2.104911" 1
"8286039479" "49158943@N04" "2012-12-01 13:59:44" "friends happy flickr peace seasons joy aberdeen delight greetings goodwill 2012 allanmaciver" "57.132419" "-2.104911" 1
"8286039479" "49158943@N04" "2012-12-01 13:59:44" "friends happy flickr peace seasons joy aberdeen delight greetings goodwill 2012 allanmaciver" "57.132419" "-2.104911" 1
"8286039479" "49158943@N04" "2012-12-01 13:59:44" "friends happy flickr peace seasons joy aberdeen delight greetings goodwill 2012 allanmaciver" "57.132419" "-2.104911" 1
"8286039479" "49158943@N04" "2012-12-01 13:59:44" "friends happy flickr peace seasons joy aberdeen delight greetings goodwill 2012 allanmaciver" "57.132419" "-2.104911" 1
"8286039479" "49158943@N04" "2012-12-01 13:59:44" "friends happy flickr peace seasons joy aberdeen delight greetings goodwill 2012 allanmaciver" "57.132419" "-2.104911" 1
"8286039479" "49158943@N04" "2012-12-01 13:59:44" "friends happy flickr peace seasons joy aberdeen delight greetings goodwill 2012 allanmaciver" "57.132419" "-2.104911" 1
"8286039479" "49158943@N04" "2012-12-01 13:59:44" "friends happy flickr peace seasons joy aberdeen delight greetings goodwill 2012 allanmaciver" "57.132419" "-2.104911" 1
"8286039479" "49158943@N04" "2012-12-01 13:59:44" "friends happy flickr peace seasons joy aberdeen delight greetings goodwill 2012 allanmaciver" "57.132419" "-2.104911" 1
"8286039479" "49158943@N04" "2012-12-01 13:59:44" "friends happy flickr peace seasons joy aberdeen delight greetings goodwill 2012 allanmaciver" "57.132419" "-2.104911" 1
"8286039479" "49158943@N04" "2012-12-01 13:59:44" "friends happy flickr peace seasons joy aberdeen delight greetings goodwill 2012 allanmaciver" "57.132419" "-2.104911" 1
"8286039479" "49158943@N04" "2012-12-01 13:59:44" "friends happy flickr peace seasons joy aberdeen delight greetings goodwill 2012 allanmaciver" "57.132419" "-2.104911" 1
"8286039479" "49158943@N04" "2012-12-01 13:59:44" "friends happy flickr peace seasons joy aberdeen delight greetings goodwill 2012 allanmaciver" "57.132419" "-2.104911" 1
"8286039479" "49158943@N04" "2012-12-01 13:59:44" "friends happy flickr peace seasons joy aberdeen delight greetings goodwill 2012 allanmaciver" "57.132419" "-2.104911" 1
"8286039479" "49158943@N04" "2012-12-01 13:59:44" "friends happy flickr peace seasons joy aberdeen delight greetings goodwill 2012 allanmaciver" "57.132419" "-2.104911" 1
"8286039479" "49158943@N04" "2012-12-01 13:59:44" "friends happy flickr peace seasons joy aberdeen delight greetings goodwill 2012 allanmaciver" "57.132419" "-2.104911" 1
"8286039479" "49158943@N04" "2012-12-01 13:59:44" "friends happy flickr peace seasons joy aberdeen delight greetings goodwill 2012 allanmaciver" "57.132419" "-2.104911" 1
"8286039479" "49158943@N04" "2012-12-01 13:59:44" "friends happy flickr peace seasons joy aberdeen delight greetings goodwill 2012 allanmaciver" "57.132419" "-2.104911" 1
"8286039479" "49158943@N04" "2012-12-01 13:59:44" "friends happy flickr peace seasons joy aberdeen delight greetings goodwill 2012 allanmaciver" "57.132419" "-2.104911" 1
"8286039479" "49158943@N04" "2012-12-01 13:59:44" "friends happy flickr peace seasons joy aberdeen delight greetings goodwill 2012 allanmaciver" "57.132419" "-2.104911" 1
"8286039479" "49158943@N04" "2012-12-01 13:59:44" "friends happy flickr peace seasons joy aberdeen delight greetings goodwill 2012 allanmaciver" "57.132419" "-2.104911" 1
"8286039479" "49158943@N04" "2012-12-01 13:59:44" "friends happy flickr peace seasons joy aberdeen delight greetings goodwill 2012 allanmaciver" "57.132419" "-2.104911" 1
"8286039479" "49158943@N04" "2012-12-01 13:59:44" "friends happy flickr peace seasons joy aberdeen delight greetings goodwill 2012 allanmaciver" "57.132419" "-2.104911" 1
"8286039479" "49158943@N04" "2012-12-01 13:59:44" "friends happy flickr peace seasons joy aberdeen delight greetings goodwill 2012 allanmaciver" "57.132419" "-2.104911" 1
"8286039479" "49158943@N04" "2012-12-01 13:59:44" "friends happy flickr peace seasons joy aberdeen delight greetings goodwill 2012 allanmaciver" "57.132419" "-2.104911" 1
"8286039479" "49158943@N04" "2012-12-01 13:59:44" "friends happy flickr peace seasons joy aberdeen delight greetings goodwill 2012 allanmaciver" "57.132419" "-2.104911" 1
"8286039479" "49158943@N04" "2012-12-01 13:59:44" "friends happy flickr peace seasons joy aberdeen delight greetings goodwill 2012 allanmaciver" "57.132419" "-2.104911" 1
"8286039479" "49158943@N04" "2012-12-01 13:59:44" "friends happy flickr peace seasons joy aberdeen delight greetings goodwill 2012 allanmaciver" "57.132419" "-2.104911" 1
"8286039479" "49158943@N04" "2012-12-01 13:59:44" "friends happy flickr peace seasons joy aberdeen delight greetings goodwill 2012 allanmaciver" "57.132419" "-2.104911" 1
"8286039479" "49158943@N04" "2012-12-01 13:59:44" "friends happy flickr peace seasons joy aberdeen delight greetings goodwill 2012 allanmaciver" "57.132419" "-2.104911" 1
"8286039479" "49158943@N04" "2012-12-01 13:59:44" "friends happy flickr peace seasons joy aberdeen delight greetings goodwill 2012 allanmaciver" "57.132419" "-2.104911" 1
"8286039479" "49158943@N04" "2012-12-01 13:59:44" "friends happy flickr peace seasons joy aberdeen delight greetings goodwill 2012 allanmaciver" "57.132419" "-2.104911" 1
"8286039479" "49158943@N04" "2012-12-01 13:59:44" "friends happy flickr peace seasons joy aberdeen delight greetings goodwill 2012 allanmaciver" "57.132419" "-2.104911" 1
"8286039479" "49158943@N04" "2012-12-01 13:59:44" "friends happy flickr peace seasons joy aberdeen delight greetings goodwill 2012 allanmaciver" "57.132419" "-2.104911" 1
"8286039479" "49158943@N04" "2012-12-01 13:59:44" "friends happy flickr peace seasons joy aberdeen delight greetings goodwill 2012 allanmaciver" "57.132419" "-2.104911" 1
"8286039479" "49158943@N04" "2012-12-01 13:59:44" "friends happy flickr peace seasons joy aberdeen delight greetings goodwill 2012 allanmaciver" "57.132419" "-2.104911" 1
"8286039479" "49158943@N04" "2012-12-01 13:59:44" "friends happy flickr peace seasons joy aberdeen delight greetings goodwill 2012 allanmaciver" "57.132419" "-2.104911" 1
"8286039479" "49158943@N04" "2012-12-01 13:59:44" "friends happy flickr peace seasons joy aberdeen delight greetings goodwill 2012 allanmaciver" "57.132419" "-2.104911" 1
"8286039479" "49158943@N04" "2012-12-01 13:59:44" "friends happy flickr peace seasons joy aberdeen delight greetings goodwill 2012 allanmaciver" "57.132419" "-2.104911" 1
